Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	C:\Users\MaxQuant\Desktop\Ema\Quan study\DIA_raw\20230918_MK_Volta_MVL_FAIMS_1CV_15cm_70min_1756_DIA_500ng_A1.raw	C:\Users\MaxQuant\Desktop\Ema\Quan study\DIA_raw\20230918_MK_Volta_MVL_FAIMS_1CV_15cm_70min_1756_DIA_500ng_A2.raw	C:\Users\MaxQuant\Desktop\Ema\Quan study\DIA_raw\20230918_MK_Volta_MVL_FAIMS_1CV_15cm_70min_1756_DIA_500ng_A3.raw	C:\Users\MaxQuant\Desktop\Ema\Quan study\DIA_raw\20230918_MK_Volta_MVL_FAIMS_1CV_15cm_70min_1756_DIA_500ng_B1.raw	C:\Users\MaxQuant\Desktop\Ema\Quan study\DIA_raw\20230918_MK_Volta_MVL_FAIMS_1CV_15cm_70min_1756_DIA_500ng_B2.raw	C:\Users\MaxQuant\Desktop\Ema\Quan study\DIA_raw\20230918_MK_Volta_MVL_FAIMS_1CV_15cm_70min_1756_DIA_500ng_B3.raw	C:\Users\MaxQuant\Desktop\Ema\Quan study\DIA_raw\20230918_MK_Volta_MVL_FAIMS_1CV_15cm_70min_1756_DIA_500ng_C1.raw	C:\Users\MaxQuant\Desktop\Ema\Quan study\DIA_raw\20230918_MK_Volta_MVL_FAIMS_1CV_15cm_70min_1756_DIA_500ng_C2.raw	C:\Users\MaxQuant\Desktop\Ema\Quan study\DIA_raw\20230918_MK_Volta_MVL_FAIMS_1CV_15cm_70min_1756_DIA_500ng_C3.raw	C:\Users\MaxQuant\Desktop\Ema\Quan study\DIA_raw\20230918_MK_Volta_MVL_FAIMS_1CV_15cm_70min_1756_DIA_500ng_D1.raw	C:\Users\MaxQuant\Desktop\Ema\Quan study\DIA_raw\20230918_MK_Volta_MVL_FAIMS_1CV_15cm_70min_1756_DIA_500ng_D2.raw	C:\Users\MaxQuant\Desktop\Ema\Quan study\DIA_raw\20230918_MK_Volta_MVL_FAIMS_1CV_15cm_70min_1756_DIA_500ng_D3.raw
A0A075B6K2;A0A075B6K5;P80748	A0A075B6K2;A0A075B6K5;P80748	LV312_HUMAN;LV321_HUMAN;LV39_HUMAN	IGLV3-12;IGLV3-21;IGLV3-9	Immunoglobulin lambda variable 3-12	3625.98		4207.26	2349.33	4403.93	1353.03		3323.91				
A0A0B4J2A2;P0DN37	P0DN37;A0A0B4J2A2	PAL4C_HUMAN;PAL4G_HUMAN	PPIAL4C;PPIAL4G	Peptidyl-prolyl cis-trans isomerase A-like 4C	264208	212272	185949	258171	171597	184424	84268.6	83788.7	82691.3	39469.8	38801.6	48645.7
A0A0B4J2D5;P0DPI2	P0DPI2;A0A0B4J2D5	GAL3A_HUMAN;GAL3B_HUMAN	GATD3;GATD3B	Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial	30097.4	42892.3	38934.6	44869.6	44226.5	33984.5	31031.9	20871	23300.6	13542.1	13793.3	11132.1
A0A0H2XDD5	A0A0H2XDD5	A0A0H2XDD5_STAA3	SAUSA300_1947	Phi77 ORF031-like protein	6092.63	8313.95	3272.44	14776	15531.1	4132.18	20854.6	6893.6	15977.6	7120.97	12062.4	8106.42
A0A0H2XDD9	A0A0H2XDD9	A0A0H2XDD9_STAA3	SAUSA300_1505	Uncharacterized protein	106502	33171.3	89650.7	127239	114289	126332	227989	132133	129165	177593	131624	152248
A0A0H2XDE4	A0A0H2XDE4	A0A0H2XDE4_STAA3	SAUSA300_0672	Transcriptional regulator, MarR family	1.29208e+06	1.58189e+06	1.54592e+06	2.43192e+06	2.46085e+06	2.35942e+06	2.76451e+06	3.41894e+06	2.99645e+06	2.90786e+06	3.37915e+06	2.7879e+06
A0A0H2XDE9	A0A0H2XDE9	A0A0H2XDE9_STAA3	SAUSA300_2083	Acetyltransferase, GNAT family	117042	91252.9	108450	161784	175915	185092	229411	200977	224771	155726	200504	202152
A0A0H2XDF9	A0A0H2XDF9	ESXD_STAA3	esxD	Type VII secretion system extracellular protein D	12674.9	30101	23228.5	37769.4	32319.7	34740.2	43504.1	48284.1	68715.3	44389.7	48715.8	45329.4
A0A0H2XDH0	A0A0H2XDH0	A0A0H2XDH0_STAA3	glvC	PTS system, arbutin-like IIBC component				12816.7			10791.8	5979.03	7112.72		3558.87	
A0A0H2XDI1	A0A0H2XDI1	A0A0H2XDI1_STAA3	SAUSA300_2351	Zn-binding lipoprotein adcA-like protein	66547.1	60036.5	66691.9	91284.4	101198	102054	123655	99498.4	133774	114341	104993	97118.2
A0A0H2XDI6	A0A0H2XDI6	A0A0H2XDI6_STAA3	SAUSA300_0406	Putative restriction/modification system specificity protein	46191.7	60380.8	45637	76618.7	89737.4	97939.7	146213	99395.6	114864	112465	95651.6	100505
A0A0H2XDJ1	A0A0H2XDJ1	A0A0H2XDJ1_STAA3	deoD	Purine nucleoside phosphorylase DeoD-type	12800	7199.34	12246	25956	24762.3	26148.1	28905.5	33188.6	26511.8	18790.8	25019.3	27317.3
A0A0H2XDJ7	A0A0H2XDJ7	A0A0H2XDJ7_STAA3	recJ	Single-stranded-DNA-specific exonuclease RecJ	32345.8	41083.7	32495.8	72404.9	63395	76814.3	94015.2	73688.3	83707	87092.5	84941.9	81178.6
A0A0H2XDN2	A0A0H2XDN2	A0A0H2XDN2_STAA3	SAUSA300_0212	Oxidoreductase, Gfo/Idh/MocA family	38599.1	35678.2	26394.4	43310.7	74501.8	66183.5	71217.4	78436.6	76723.9	73363	61658.4	76217.7
A0A0H2XDN5	A0A0H2XDN5	A0A0H2XDN5_STAA3	SAUSA300_2043	Uncharacterized protein	10991.6	10465	14003.4	22932.5	24836.8	27592.2	34332.5	34527	21787.7	33349.7	26486.7	36861.3
A0A0H2XDP9	A0A0H2XDP9	A0A0H2XDP9_STAA3	SAUSA300_2357	ABC transporter, ATP-binding protein	219704	230053	189691	430587	450361	401903	478772	502648	471734	575840	456510	503169
A0A0H2XDQ5	A0A0H2XDQ5	A0A0H2XDQ5_STAA3	aur	Neutral metalloproteinase				2137.09	3229.27	2489.52		5239.41	5523.63	3497.7		3373.66
A0A0H2XDR6	A0A0H2XDR6	A0A0H2XDR6_STAA3	parC	DNA topoisomerase 4 subunit A	125926	124094	119750	220909	216667	211819	260081	261335	251546	263668	242446	231059
A0A0H2XDS1	A0A0H2XDS1	A0A0H2XDS1_STAA3	nnrD	ADP-dependent (S)-NAD(P)H-hydrate dehydratase	99994	121566	102289	200292	275162	182241	319283	292622	310903	326801	308879	341464
A0A0H2XDT0	A0A0H2XDT0	A0A0H2XDT0_STAA3	SAUSA300_1986	Nitroreductase family protein	91621.1	84599.1	83114.4	164187	167797	160427	202026	184944	229004	193755	196840	233327
A0A0H2XDT8	A0A0H2XDT8	A0A0H2XDT8_STAA3	prmC	Release factor glutamine methyltransferase	33693.2	36216.9	33083.5	73774.3	78518.3	89302.6	87807.4	83342.4	88538.1	73752.2	74952.5	82071.5
A0A0H2XDU2	A0A0H2XDU2	A0A0H2XDU2_STAA3	SAUSA300_0107	Na/Pi cotransporter family protein	69760.1	69637.1	62853.9	117501	129539	123543	128448	151848	149539	125652	110040	148053
A0A0H2XDU3	A0A0H2XDU3	A0A0H2XDU3_STAA3	SAUSA300_0590	FMN-dependent NADPH-azoreductase	27430.3	36663.9	36602.3	70740	82804.7	78125.2	88651	66146.9	127061	101402	71244.1	78374
A0A0H2XDU9	A0A0H2XDU9	A0A0H2XDU9_STAA3	SAUSA300_0981	Uncharacterized protein	118410	122918	108047	203154	206037	189110	227309	222568	232352	233986	216876	232549
A0A0H2XDV3	A0A0H2XDV3	A0A0H2XDV3_STAA3	folC	Folylpolyglutamate synthase	98290.6	112866	120719	195224	190154	185024	234944	206791	224938	194080	187015	205940
