Entry	Organism
A0A087X1C5	Homo sapiens (Human)
A0A0B4J2F0	Homo sapiens (Human)
A0A0B4J2F2	Homo sapiens (Human)
A0A0C5B5G6	Homo sapiens (Human)
A0A0K2S4Q6	Homo sapiens (Human)
A0A0U1RRE5	Homo sapiens (Human)
A0A1B0GTW7	Homo sapiens (Human)
A0A5B9	Homo sapiens (Human)
A0AV02	Homo sapiens (Human)
A0AV96	Homo sapiens (Human)
A0AVF1	Homo sapiens (Human)
A0AVI4	Homo sapiens (Human)
A0AVK6	Homo sapiens (Human)
A0AVT1	Homo sapiens (Human)
A0FGR8	Homo sapiens (Human)
A0FGR9	Homo sapiens (Human)
A0JLT2	Homo sapiens (Human)
A0JNW5	Homo sapiens (Human)
A0JP26	Homo sapiens (Human)
A0M8Q6	Homo sapiens (Human)
A0MZ66	Homo sapiens (Human)
A0PJK1	Homo sapiens (Human)
A0PJY2	Homo sapiens (Human)
A0PK00	Homo sapiens (Human)
A0PK11	Homo sapiens (Human)
A1A4S6	Homo sapiens (Human)
A1A4Y4	Homo sapiens (Human)
A1A519	Homo sapiens (Human)
A1A5B4	Homo sapiens (Human)
A1A5C7	Homo sapiens (Human)
A1E959	Homo sapiens (Human)
A1KXE4	Homo sapiens (Human)
A1KZ92	Homo sapiens (Human)
A1L0T0	Homo sapiens (Human)
A1L167	Homo sapiens (Human)
A1L190	Homo sapiens (Human)
A1L390	Homo sapiens (Human)
A1L3X0	Homo sapiens (Human)
A1L4H1	Homo sapiens (Human)
A1L4K1	Homo sapiens (Human)
A1X283	Homo sapiens (Human)
A1XBS5	Homo sapiens (Human)
A1Z1Q3	Homo sapiens (Human)
A2A288	Homo sapiens (Human)
A2A2Y4	Homo sapiens (Human)
A2IDD5	Homo sapiens (Human)
A2PYH4	Homo sapiens (Human)
A2RRP1	Homo sapiens (Human)
A2RTX5	Homo sapiens (Human)
A2RU14	Homo sapiens (Human)
A2RU30	Homo sapiens (Human)
A2RU49	Homo sapiens (Human)
A2RUB1	Homo sapiens (Human)
A2RUB6	Homo sapiens (Human)
A2RUC4	Homo sapiens (Human)
A2RUH7	Homo sapiens (Human)
A2VDJ0	Homo sapiens (Human)
A2VEC9	Homo sapiens (Human)
A3KMH1	Homo sapiens (Human)
A4D0S4	Homo sapiens (Human)
A4D126	Homo sapiens (Human)
A4D161	Homo sapiens (Human)
A4D1B5	Homo sapiens (Human)
A4D1E9	Homo sapiens (Human)
A4D1P6	Homo sapiens (Human)
A4D1T9	Homo sapiens (Human)
A4D256	Homo sapiens (Human)
A4D2B0	Homo sapiens (Human)
A4D2B8	Homo sapiens (Human)
A4GXA9	Homo sapiens (Human)
A4UGR9	Homo sapiens (Human)
A5A3E0	Homo sapiens (Human)
A5D8T8	Homo sapiens (Human)
A5D8V6	Homo sapiens (Human)
A5D8V7	Homo sapiens (Human)
A5D8W1	Homo sapiens (Human)
A5LHX3	Homo sapiens (Human)
A5PKW4	Homo sapiens (Human)
A5PLL7	Homo sapiens (Human)
A5X5Y0	Homo sapiens (Human)
A5YKK6	Homo sapiens (Human)
A5YM72	Homo sapiens (Human)
A6BM72	Homo sapiens (Human)
A6H8Y1	Homo sapiens (Human)
A6H8Z2	Homo sapiens (Human)
A6NC98	Homo sapiens (Human)
A6NCS4	Homo sapiens (Human)
A6ND01	Homo sapiens (Human)
A6ND36	Homo sapiens (Human)
A6NDB9	Homo sapiens (Human)
A6NDE4	Homo sapiens (Human)
A6NDG6	Homo sapiens (Human)
A6NDV4	Homo sapiens (Human)
A6NED2	Homo sapiens (Human)
A6NEM1	Homo sapiens (Human)
A6NFA1	Homo sapiens (Human)
A6NFQ2	Homo sapiens (Human)
A6NFX1	Homo sapiens (Human)
A6NFY7	Homo sapiens (Human)
A6NGG8	Homo sapiens (Human)
A6NGQ2	Homo sapiens (Human)
A6NGU5	Homo sapiens (Human)
A6NHL2	Homo sapiens (Human)
A6NHR9	Homo sapiens (Human)
A6NHX0	Homo sapiens (Human)
A6NI15	Homo sapiens (Human)
A6NI61	Homo sapiens (Human)
