Checked	Protein FDR Confidence: Combined	Master	Accession	Description	Exp. q-value: Combined	Sum PEP Score	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	# AAs	MW [kDa]	calc. pI	Score Sequest HT: Sequest HT	# Peptides (by Search Engine): Sequest HT	Biological Process	Cellular Component	Molecular Function	Pfam IDs	Entrez Gene ID	Ensembl Gene ID	Gene Symbol	Gene ID	WikiPathways	Reactome Pathways	# Protein Pathway Groups	# Razor Peptides	Abundances (Scaled): F12: Sample, A1	Abundances (Scaled): F8: Sample, A2	Abundances (Scaled): F4: Sample, A3	Abundances (Scaled): F11: Sample, B1	Abundances (Scaled): F7: Sample, B2	Abundances (Scaled): F3: Sample, B3	Abundances (Scaled): F10: Sample, C1	Abundances (Scaled): F6: Sample, C2	Abundances (Scaled): F2: Sample, C3	Abundances (Scaled): F9: Sample, D1	Abundances (Scaled): F5: Sample, D2	Abundances (Scaled): F1: Sample, D3	Abundances (Normalized): F12: Sample, A1	Abundances (Normalized): F8: Sample, A2	Abundances (Normalized): F4: Sample, A3	Abundances (Normalized): F11: Sample, B1	Abundances (Normalized): F7: Sample, B2	Abundances (Normalized): F3: Sample, B3	Abundances (Normalized): F10: Sample, C1	Abundances (Normalized): F6: Sample, C2	Abundances (Normalized): F2: Sample, C3	Abundances (Normalized): F9: Sample, D1	Abundances (Normalized): F5: Sample, D2	Abundances (Normalized): F1: Sample, D3	Abundance: F12: Sample, A1	Abundance: F8: Sample, A2	Abundance: F4: Sample, A3	Abundance: F11: Sample, B1	Abundance: F7: Sample, B2	Abundance: F3: Sample, B3	Abundance: F10: Sample, C1	Abundance: F6: Sample, C2	Abundance: F2: Sample, C3	Abundance: F9: Sample, D1	Abundance: F5: Sample, D2	Abundance: F1: Sample, D3	Found in Sample: [S12] F12: Sample, A1	Found in Sample: [S8] F8: Sample, A2	Found in Sample: [S4] F4: Sample, A3	Found in Sample: [S11] F11: Sample, B1	Found in Sample: [S7] F7: Sample, B2	Found in Sample: [S3] F3: Sample, B3	Found in Sample: [S10] F10: Sample, C1	Found in Sample: [S6] F6: Sample, C2	Found in Sample: [S2] F2: Sample, C3	Found in Sample: [S9] F9: Sample, D1	Found in Sample: [S5] F5: Sample, D2	Found in Sample: [S1] F1: Sample, D3	# Protein Groups	Modifications
FALSE	High	Master Protein	Q15149	Plectin OS=Homo sapiens OX=9606 GN=PLEC PE=1 SV=3	0	633.48	38	156	874	156	4684	531.5	5.96	781.65	156				Pf00307, Pf00681, Pf03501, Pf17902, Pf18373	5339	ENSG00000178209	PLEC	"hsa:5339; Q15148; Q15149; Q16640; Q6S376; Q6S377; Q6S378; Q6S379; Q6S380; Q6S381; Q6S382; Q6S383"	Envelope proteins and their potential roles in EDMD physiopathology	"Assembly of collagen fibrils and other multimeric structures; Caspase-mediated cleavage of cytoskeletal proteins; Type I hemidesmosome assembly"	4	0	182.8	180.9	182.3	121.9	118.8	123.9	58.3	58.2	57.6	40.2	38.2	36.8	211399445	209203093.2	210778497.5	140977841.3	137395894.2	143249185.3	67352099.07	67307666.53	66546781.87	46467794.89	44215085.62	42590876.39	137869794.5	163744374.4	146738401.2	113197391.1	111072331.9	128224456.8	67352099.07	55809927.44	56301282.21	41433013.23	38502360.18	42041242.21	High	High	High	High	High	High	High	High	High	High	High	High	1	Met-loss [N-Term]
FALSE	High	Master Protein	Q2FJ97	DNA-directed RNA polymerase subunit beta' OS=Staphylococcus aureus (strain USA300) OX=367830 GN=rpoC PE=3 SV=2	0	578.044	69	84	1200	84	1207	135.3	6.89	1869.91	84				Pf00623, Pf04983, Pf04997, Pf04998, Pf05000		SAUSA300_0528	rpoC	"Q2FJ97; saa:SAUSA300_0528"			0	0	72.8	76.1	71.4	93.2	92.7	94.7	111.7	114.4	114	117.9	121.3	119.6	297436492.1	311119373.5	291946064.7	380825129.1	378921795.1	387137624.7	456667816.8	467648817.3	465997666.1	482008944.4	495926356.6	488639789.4	193981152.8	243514789.3	203245109.3	305781466.7	306324491.3	346532592.8	456667816.8	387763354.6	394252965.6	429783315.9	431851141.7	482333905.4	High	High	High	High	High	High	High	High	High	High	High	High	1	Met-loss [N-Term]
FALSE	High	Master Protein	Q2FJ98	DNA-directed RNA polymerase subunit beta OS=Staphylococcus aureus (strain USA300) OX=367830 GN=rpoB PE=3 SV=2	0	432.751	64	69	904	69	1183	133.1	5.02	1073.43	69				Pf00562, Pf04560, Pf04561, Pf04563, Pf04565, Pf10385		SAUSA300_0527	rpoB	"Q2FJ98; saa:SAUSA300_0527"			0	0	81.2	81.3	80.6	94.6	92.6	96.3	108.4	110.8	107.9	115	116.6	114.9	247419945.7	247817807.2	245734797.8	288241572.7	282084936.1	293346692.6	330402901.5	337605073.6	328872261.5	350340726.8	355303048.7	350031615.6	161361526.2	193968316.5	171074050.6	231442003.5	228040523.5	262578947.4	330402901.5	279934153.6	278239300	312381338.5	309396798.9	345514466.6	High	High	High	High	High	High	High	High	High	High	High	High	1	"Met-loss [N-Term]; Met-loss+Acetyl [N-Term]"
FALSE	High	Master Protein	Q2FJ93	Elongation factor G OS=Staphylococcus aureus (strain USA300) OX=367830 GN=fusA PE=3 SV=3	0	412.982	69	36	3207	36	693	76.6	4.88	5506.47	36				Pf00009, Pf00679, Pf03144, Pf03764, Pf14492		SAUSA300_0532	fusA	"Q2FJ93; saa:SAUSA300_0532"			0	0	79.3	77.2	75	94.5	95.7	94.2	110.7	107.1	110.6	117.8	120.3	117.6	846823222.9	824128706.9	800817231.2	1009245780	1022272053	1006173153	1181604365	1143979536	1180829772	1257835204	1284252721	1255877404	552278383.3	645049924.7	557507722.8	810368411.6	826415821.7	900640416.5	1181604365	948560813.4	999029980.7	1121548866	1118323308	1239670338	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q09666	Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens OX=9606 GN=AHNAK PE=1 SV=2	0	353.135	31	87	384	87	5890	628.7	6.15	398.54	87					79026	ENSG00000124942	AHNAK	"A1A586; hsa:79026; Q09666"			0	0	196.2	186.4	197.2	115.8	123.5	135.2	51.4	52.1	52.9	27	31.4	30.9	108268507	102868033.3	108781243.3	63892582.05	68124137.77	74578277.32	28366977.81	28773898.5	29206067.51	14883539.18	17315224.74	17059088.14	70610198.7	80515357.12	75730617.27	51302201.34	55072292.27	66756115.03	28366977.81	23858637.06	24709520.17	13270908.96	15078044.3	16838941.04	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q2FJ92	Elongation factor Tu OS=Staphylococcus aureus (strain USA300) OX=367830 GN=tuf PE=3 SV=1	0	347.018	69	29	1916	29	394	43.1	4.86	3062.57	29				Pf00009, Pf03143, Pf03144		SAUSA300_0533	tuf	"Q2FJ92; saa:SAUSA300_0533"			0	0	81.4	82.7	81.2	93.5	97.9	92.9	113.7	108	106.8	111.9	114.1	116	1901438281	1933296400	1896879152	2184766849	2287846074	2169940849	2657596166	2524133397	2494592532	2615809939	2665231799	2709786722	1240073762	1513201381	1320556970	1754246662	1849519594	1942346031	2657596166	2092951799	2110526673	2332387153	2320875630	2674816994	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q2FHP4	Isoleucine--tRNA ligase OS=Staphylococcus aureus (strain USA300) OX=367830 GN=ileS PE=3 SV=1	0	323.319	57	36	612	36	917	104.8	5.47	1010.5	36				Pf00133, Pf06827, Pf08264		SAUSA300_1087	ileS	"Q2FHP4; saa:SAUSA300_1087"			0	0	70.4	80.9	73.6	99.2	83.5	88.4	105.2	122.5	112.9	124.8	118	120.5	133711577	153545281.3	139741662.5	188330793.7	158637536.4	167949120.5	199793188	232537227.8	214475814.9	237016182.8	224126963.7	228850897.4	87203576.37	120180708.8	97284440.19	151219186.8	128244306	150333732.7	199793188	192814377.3	181455256.6	211335499.4	195169068.7	225897582.4	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	P21333	Filamin-A OS=Homo sapiens OX=9606 GN=FLNA PE=1 SV=4	0	321.341	35	65	401	60	2647	280.6	6.06	395.95	65				Pf00307, Pf00630	2316	ENSG00000196924	FLNA	"E9KL45; hsa:2316; P21333; Q5HY53; Q5HY55; Q8NF52"	"Androgen receptor signaling pathway; Prolactin signaling pathway; Focal adhesion; Hypothesized pathways in pathogenesis of cardiovascular disease; MAPK signaling pathway; IL-4 signaling pathway; Ebola virus infection in host; Joubert syndrome; NPHP1 deletion syndrome"	"OAS antiviral response; Platelet degranulation ; RHO GTPases activate PAKs; GP1b-IX-V activation signalling; Cell-extracellular matrix interactions"	14	0	184	193.8	187.4	120.9	123.9	119	81.4	52.6	52.6	28.6	28.8	27	78830263.66	83005070.29	80287335.59	51791623.04	53096097.37	50963508.16	34855677.23	22547851.08	22537853.29	12236475.61	12354304.03	11568236.81	51411261.99	64968510.25	55893914.23	41585802.11	42923461.32	45618187.16	34855677.23	18696145.59	19067939.92	10910654.5	10758089.84	11418949.01	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	O75369	Filamin-B OS=Homo sapiens OX=9606 GN=FLNB PE=1 SV=2	0	311.707	35	67	464	62	2602	278	5.73	443.69	67				Pf00307, Pf00630	2317	ENSG00000136068	FLNB	"B2ZZ83; B2ZZ84; B2ZZ85; C9JKE6; C9JMC4; hsa:2317; O75369; Q13706; Q59EC2; Q60FE7; Q6MZJ1; Q8WXS9; Q8WXT0; Q8WXT1; Q8WXT2; Q8WXT3; Q9NRB5; Q9NT26; Q9UEV9"	"Focal adhesion; MAPK signaling pathway; VEGFA-VEGFR2 signaling; Ebola virus infection in host; NPHP1 deletion syndrome"	ISG15 antiviral mechanism	6	5	186.1	197.4	194.1	123.9	125.3	119.5	53.2	55.3	55.4	33.1	26.3	30.3	116043823.2	123101279.8	121051828	77261476.6	78117200.06	74514068.13	33197414.86	34486858.23	34559492.73	20624375.91	16380853.06	18912844.93	75681078.79	96352026.8	84273073	62036682.53	63150792.27	66698640.44	33197414.86	28595688.35	29238735.5	18389726.52	14264396.32	18668775.15	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q2FJM5	GMP synthase [glutamine-hydrolyzing] OS=Staphylococcus aureus (strain USA300) OX=367830 GN=guaA PE=3 SV=1	0	309.681	61	31	722	31	513	58.2	5.12	997.16	31				Pf00117, Pf00958, Pf03054		SAUSA300_0389	guaA	"Q2FJM5; saa:SAUSA300_0389"			0	0	76.6	73.6	73.8	89.9	93.4	98.4	114.2	106.1	112.1	117.4	121.6	122.9	205627527.3	197578827.1	198363230.2	241500603.7	250999032.2	264419707.4	306648905.3	285106335.7	301157386.4	315291102.1	326578852.4	330081816.9	134105484.2	154645999.4	138095221.3	193911596.6	202910341.5	236685976.7	306648905.3	236403440	254791389.2	281129337.8	284383857.4	325822119.5	High	High	High	High	High	High	High	High	High	High	High	High	1	
